VIA LABS — P&L PROJECTION (USD),,,,,
,2026,2027,2028,2029,2030

KEY METRICS
Active Merchants,75,350,1500,5000,15000
Platform GMV,"612,000","10,773,000","118,800,000","855,360,000","5,054,400,000"
Total Transactions,"7,200","113,400","1,080,000","7,128,000","38,880,000"
Total Intents Processed,"180,000","2,100,000","14,400,000","72,000,000","324,000,000"

REVENUE

  Merchant Subscriptions,"175,050","1,236,480","7,097,400","28,155,000","97,956,000"
    Starter (Free),0,0,0,0,0
    Growth,"40,230","187,740","804,600","2,682,000","8,046,000"
    Professional,"67,365","419,160","2,245,500","7,485,000","22,455,000"
    Enterprise,"67,455","629,580","4,047,300","17,988,000","67,455,000"

  Micro Transaction Fees,"4,680","73,815","738,000","5,032,800","28,836,000"
    Intent Fees ($0.005/intent),900,"10,500","72,000","360,000","1,620,000"
    Quote Fees ($0.01/quote),720,"9,450","72,000","396,000","1,944,000"
    Transaction Fees (0.5% capped $2),"3,060","53,865","594,000","4,276,800","25,272,000"

  Agent Top-Up Margins,"3,750","27,600","160,000","630,000","1,800,000"

TOTAL REVENUE,"183,480","1,337,895","7,995,400","33,817,800","128,592,000"

Cost of Revenue (12%),"(22,018)","(160,547)","(959,448)","(4,058,136)","(15,431,040)"
GROSS PROFIT,"161,462","1,177,348","7,035,952","29,759,664","113,160,960"
Gross Margin %,88.0%,88.0%,88.0%,88.0%,88.0%

OPERATING EXPENSES
  Engineering & Product,"(720,000)","(1,440,000)","(2,400,000)","(3,600,000)","(5,000,000)"
  Operations & Admin,"(180,000)","(360,000)","(600,000)","(900,000)","(1,200,000)"
  Sales & Marketing,"(200,000)","(500,000)","(1,000,000)","(2,000,000)","(3,500,000)"
  Infrastructure & Cloud,"(96,000)","(200,000)","(400,000)","(750,000)","(1,200,000)"
  Legal & Compliance,"(120,000)","(180,000)","(250,000)","(350,000)","(500,000)"
  General & Admin,"(84,000)","(120,000)","(200,000)","(300,000)","(400,000)"
TOTAL OPERATING EXPENSES,"(1,400,000)","(2,800,000)","(4,850,000)","(7,900,000)","(11,800,000)"

EBITDA,"-1,238,538","-1,622,652","2,185,952","21,859,664","101,360,960"
EBITDA Margin %,-675.0%,-121.3%,27.3%,64.6%,78.8%

GROWTH METRICS
Revenue YoY Growth,—,629%,498%,323%,280%
